t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,8.741741415358903478e-01,8.738405755867016955e-01,3.335659491886522332e-04,1.250896096229553223e+00,1.250895783088050051e+00,3.131415031720763409e-07,1.061384991401741473e+00,1.061384920692357792e+00,7.070938368158863341e-08,1.872108498658511255e-01,1.875443451056560962e-01,-3.334952398049706446e-04,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.441985722543630999e-01,9.428583163100459075e-01,1.340255944317192416e-03,1.252368175186700627e+00,1.252701403781684153e+00,-3.332285949835256389e-04,1.182026339723434738e+00,1.182110030899344189e+00,-8.369117590945052143e-05,2.378277674690716381e-01,2.392517145892982811e-01,-1.423947120226642937e-03,1.113315561635707995e+00,1.113315561635707995e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.557205010022322700e-01,9.548647317762759545e-01,8.557692259563154380e-04,1.304238590733820757e+00,1.305946287143875395e+00,-1.707696410054637681e-03,1.191141041077558027e+00,1.191555892834782471e+00,-4.148517572244436735e-04,2.354205400753257571e-01,2.366911610585065162e-01,-1.270620983180759112e-03,1.109848924162585959e+00,1.109848924162585959e+00,0.000000000000000000e+00
3.000000000000000000e+00,9.656041161116740712e-01,9.650410830362321501e-01,5.630330754419210493e-04,1.345999822458291417e+00,1.348724573281733674e+00,-2.724750823442256831e-03,1.199510268549919711e+00,1.200155994285914129e+00,-6.457257359944179598e-04,2.339061524382456403e-01,2.351149112496819793e-01,-1.208758811436339009e-03,1.108311776531250681e+00,1.108311776531250681e+00,0.000000000000000000e+00
4.000000000000000000e+00,9.740957601566001545e-01,9.737200485211062739e-01,3.757116354938805358e-04,1.380045767945457413e+00,1.383574694121722404e+00,-3.528926176264990389e-03,1.207081192120301294e+00,1.207901851907131396e+00,-8.206597868301024334e-04,2.329854319637011395e-01,2.341818033860251225e-01,-1.196371422323982969e-03,1.107917478676284873e+00,1.107917478676284873e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.980720700859613270e-01,9.974368546600355101e-01,6.352154259258169233e-04,1.408115695329225758e+00,1.412317001836481900e+00,-4.201306507256141742e-03,1.242841842625741933e+00,1.243827603682264193e+00,-9.857610565222607590e-04,2.447697725397806057e-01,2.463907490222286834e-01,-1.620976482448077682e-03,1.134643891056070331e+00,1.134643891056070331e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.053023390952045890e+00,1.051110660221813875e+00,1.912730730232015119e-03,1.443802012147909375e+00,1.449000465940911475e+00,-5.198453793002100198e-03,1.331023900613097499e+00,1.332297591699824313e+00,-1.273691086726813637e-03,2.780005096610516091e-01,2.811869314780104379e-01,-3.186421816958828757e-03,1.207082574067451120e+00,1.207082574067451120e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.067671806236497156e+00,1.066280253367394959e+00,1.391552869102197221e-03,1.507420198624658703e+00,1.515033184050416315e+00,-7.612985425757612390e-03,1.343541530767587977e+00,1.345343939236155029e+00,-1.802408468567051614e-03,2.758697245310908208e-01,2.790636858687600697e-01,-3.193961337669248834e-03,1.204532697877938929e+00,1.204532697877938929e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.106973063028558579e+00,1.104649252515252478e+00,2.323810513306101555e-03,1.559461280809329109e+00,1.569137816693556342e+00,-9.676535884227233097e-03,1.401749932364865669e+00,1.404059411878046726e+00,-2.309479513181056376e-03,2.947768693363070902e-01,2.994101593627942481e-01,-4.633290026487157931e-03,1.245418456994660250e+00,1.245418456994660250e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.115714767099535543e+00,1.114276986041493833e+00,1.437781058041709414e-03,1.622682210007756476e+00,1.635555219633562984e+00,-1.287300962580650854e-02,1.404267030311064257e+00,1.407223141118393528e+00,-2.956110807329270784e-03,2.885522632115287145e-01,2.929461550768996947e-01,-4.393891865370980199e-03,1.234529422310785884e+00,1.234529422310785884e+00,0.000000000000000000e+00
