t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,9.291722839393301570e-01,9.078693275374714045e-01,2.130295640185875250e-02,1.174423618948972736e+00,1.174423618948972736e+00,0.000000000000000000e+00,1.033313057246857403e+00,1.033313057246857403e+00,0.000000000000000000e+00,1.041407733075272457e-01,1.254437297093859982e-01,-2.130295640185875250e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.909523853731463605e-01,8.764917771773806932e-01,1.446060819576566736e-02,1.154415716286749216e+00,1.175718672688607969e+00,-2.130295640185875250e-02,9.787372325740401058e-01,9.823917540707821638e-01,-3.654521496742058062e-03,8.778484720089374527e-02,1.058999768934014707e-01,-1.811512969250772542e-02,9.505068114088985887e-01,9.505068114088985887e-01,0.000000000000000000e+00
2.000000000000000000e+00,8.895243332723026253e-01,8.798068106421411683e-01,9.717522630161457009e-03,1.120166928959812402e+00,1.157333073089745756e+00,-3.716614412993335392e-02,9.860889406279610414e-01,9.926711709855843280e-01,-6.582230357623286565e-03,9.656460735565841613e-02,1.128643603434431597e-01,-1.629975298778474357e-02,9.635430326101315224e-01,9.635430326101315224e-01,0.000000000000000000e+00
3.000000000000000000e+00,9.410010177425462974e-01,9.351628837143428630e-01,5.838134028203434411e-03,1.098318351454697916e+00,1.147855404235343268e+00,-4.953705278064535200e-02,1.075064125766585166e+00,1.084774354151561315e+00,-9.710228384976149485e-03,1.340631080240388684e-01,1.496114704372184523e-01,-1.554836241317958390e-02,1.054709857796808814e+00,1.054709857796808814e+00,0.000000000000000000e+00
4.000000000000000000e+00,9.862877596301536931e-01,9.843003694223325661e-01,1.987390207821126964e-03,1.116277894354247513e+00,1.176126732715885970e+00,-5.984883836163845672e-02,1.144958177477121808e+00,1.157211396990187380e+00,-1.225321951306557189e-02,1.586704178469681148e-01,1.729110275678548136e-01,-1.424060972088669885e-02,1.119573241037644884e+00,1.119573241037644884e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.986374811949612074e-01,9.980529347529345507e-01,5.845464420266566208e-04,1.156946238364855883e+00,1.224709047642573712e+00,-6.776280927771782814e-02,1.152952724249781236e+00,1.166406579366266349e+00,-1.345385511648511390e-02,1.543152430548200282e-01,1.683536446133317988e-01,-1.403840155851177052e-02,1.119197671890378665e+00,1.119197671890378665e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000993329693979916e+00,1.001418016103571285e+00,-4.246864095913682746e-04,1.188960344637598698e+00,1.263598328409859750e+00,-7.463798377226105174e-02,1.146976697989371630e+00,1.161298925491311085e+00,-1.432222750193945515e-02,1.459833682953917133e-01,1.598809093877398002e-01,-1.389754109234808688e-02,1.107219517097414840e+00,1.107219517097414840e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.020296013351319031e+00,1.022599141524646038e+00,-2.303128173327007033e-03,1.209258355293985066e+00,1.289903876319374421e+00,-8.064552102538935507e-02,1.173402827937036319e+00,1.188945588355999394e+00,-1.554276041896307525e-02,1.531068145857172880e-01,1.663464468313533562e-01,-1.323963224563606822e-02,1.128828108035618172e+00,1.128828108035618172e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.079328789594582672e+00,1.084846109228123634e+00,-5.517319633540962442e-03,1.234534103394969273e+00,1.319894194246735486e+00,-8.536009085176621269e-02,1.267452684532034857e+00,1.284842739723461857e+00,-1.739005519142700074e-02,1.881238949374521852e-01,1.999966304953382235e-01,-1.187273555788603829e-02,1.214175016524322137e+00,1.214175016524322137e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.040624438827483456e+00,1.043518085931890438e+00,-2.893647104406982251e-03,1.292155024871149083e+00,1.380364410259248942e+00,-8.820938538809985907e-02,1.182881217531918994e+00,1.198910080212053142e+00,-1.602886268013414828e-02,1.422567787044355381e-01,1.553919942801627041e-01,-1.313521557572716603e-02,1.122671301729205817e+00,1.122671301729205817e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.060302029098136201e+00,1.064996633253874503e+00,-4.694604155738302254e-03,1.297817705077311867e+00,1.389837665232366293e+00,-9.201996015505442550e-02,1.214831995584656266e+00,1.231913013873153107e+00,-1.708101828849684090e-02,1.545299664865200651e-01,1.669163806192786037e-01,-1.238641413275853864e-02,1.151968573422473829e+00,1.151968573422473829e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.036566287131565733e+00,1.040421941936856109e+00,-3.855654805290376075e-03,1.315154969428258491e+00,1.409833885896154992e+00,-9.467891646789650117e-02,1.169235501482197792e+00,1.185920635254523736e+00,-1.668513377232594408e-02,1.326692143506320587e-01,1.454986933176676267e-01,-1.282947896703556800e-02,1.105736692420508094e+00,1.105736692420508094e+00,0.000000000000000000e+00
1.200000000000000000e+01,9.848034791442865643e-01,9.877893649582920599e-01,-2.985885814005495575e-03,1.308798754185030777e+00,1.406298612724000696e+00,-9.749985853896991905e-02,1.084993065658578226e+00,1.100999705645431037e+00,-1.600663998685281086e-02,1.001895865142916620e-01,1.132103406871389772e-01,-1.302075417284731529e-02,1.027083013029399083e+00,1.027083013029399083e+00,0.000000000000000000e+00
1.300000000000000000e+01,9.590866037990846138e-01,9.632151273123963353e-01,-4.128523513311721516e-03,1.270634828541295169e+00,1.370848701717608309e+00,-1.002138731763131396e-01,1.054055124067938332e+00,1.070491264508233398e+00,-1.643614044029506616e-02,9.496852026885371778e-02,1.072761371958370624e-01,-1.230761692698334464e-02,1.003833000794284835e+00,1.003833000794284835e+00,0.000000000000000000e+00
1.400000000000000000e+01,9.168899285790642617e-01,9.222344398299980872e-01,-5.344511250933825508e-03,1.231284156774802518e+00,1.333212008034413421e+00,-1.019278512596109021e-01,9.979445624850373786e-01,1.014253843118529064e+00,-1.630928063349168511e-02,8.105463390597311690e-02,9.201940328853097650e-02,-1.096476938255785960e-02,9.565095047186873423e-01,9.565095047186873423e-01,0.000000000000000000e+00
1.500000000000000000e+01,8.468220906070955678e-01,8.551630739202376041e-01,-8.340983313142036337e-03,1.182179370059685208e+00,1.284297166716581007e+00,-1.021177966568957984e-01,9.042291883109860873e-01,9.196287129111591074e-01,-1.539952460017302016e-02,5.740709770389051947e-02,6.446563899092150329e-02,-7.058541287030983824e-03,8.739044590845499449e-01,8.739044590845499449e-01,0.000000000000000000e+00
1.600000000000000000e+01,8.884735353769701582e-01,8.956077446298613687e-01,-7.134209252891210440e-03,1.114617928998143492e+00,1.212999363771400052e+00,-9.838143477325655972e-02,9.860190875350253181e-01,1.003165711749555600e+00,-1.714662421453028163e-02,9.754555215805515989e-02,1.075579671196942311e-01,-1.001241496163907119e-02,9.644504937182247772e-01,9.644504937182247772e-01,0.000000000000000000e+00
1.700000000000000000e+01,9.369840610200071973e-01,9.449661720708320001e-01,-7.982111050824802767e-03,1.094336882759698204e+00,1.192330801268725704e+00,-9.799391850902750001e-02,1.069700303953617704e+00,1.088563245381904965e+00,-1.886294142828726095e-02,1.327162429336105065e-01,1.435970733110729647e-01,-1.088083037746245818e-02,1.050224692969538243e+00,1.050224692969538243e+00,0.000000000000000000e+00
1.800000000000000000e+01,9.297126137667152124e-01,9.370934324942652438e-01,-7.380818727550031433e-03,1.111370442828784721e+00,1.209886224950904365e+00,-9.851578212211964392e-02,1.052644572944954282e+00,1.071025766689008840e+00,-1.838119374405455808e-02,1.229319591782390697e-01,1.339323341947435964e-01,-1.100037501650452665e-02,1.030231096691375914e+00,1.030231096691375914e+00,0.000000000000000000e+00
