t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.266925258700389412e+00,1.215278322412129075e+00,5.164693628826033667e-02,4.776113260889303547e+00,4.776113260889303547e+00,0.000000000000000000e+00,1.598535866909889025e+00,1.598535866909889025e+00,0.000000000000000000e+00,3.316106082094996133e-01,3.832575444977599499e-01,-5.164693628826033667e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.249674196242159585e+00,1.204156778625622648e+00,4.551741761653693708e-02,4.725634808227658468e+00,4.777281744515919470e+00,-5.164693628826100280e-02,1.559223527856102853e+00,1.564316365736039494e+00,-5.092837879936640277e-03,3.095493316139432682e-01,3.601595871104168456e-01,-5.061025549647357735e-02,9.785214098924992498e-01,9.785214098924992498e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.254186342264828724e+00,1.213944589005936603e+00,4.024175325889212118e-02,4.657133355183390222e+00,4.755258792065062856e+00,-9.812543688167263412e-02,1.587816560379695208e+00,1.597779968790998817e+00,-9.963408411303609213e-03,3.336302181148664836e-01,3.838353797850622140e-01,-5.020516167019573039e-02,1.000840163053001053e+00,1.000840163053001053e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.253197750504769115e+00,1.217131452834758321e+00,3.606629767001079401e-02,4.618192904883585470e+00,4.758673468484920122e+00,-1.404805636013346515e-01,1.592650560963084994e+00,1.607032462009718721e+00,-1.438190104663372715e-02,3.394528104583158790e-01,3.899010091749604001e-01,-5.044819871664452116e-02,1.006419117829401078e+00,1.006419117829401078e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.232924249062548494e+00,1.201932752708317453e+00,3.099149635423104066e-02,4.588190282951215337e+00,4.767880600181086947e+00,-1.796903172298716100e-01,1.541183423500009697e+00,1.559048099915624652e+00,-1.786467641561495512e-02,3.082591744374612031e-01,3.571153472073071988e-01,-4.885617276984599577e-02,9.758024473041910785e-01,9.758024473041910785e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.222352638285572057e+00,1.195456217069598148e+00,2.689642121597390911e-02,4.529394234752579962e+00,4.743565499373907812e+00,-2.141712646213278504e-01,1.522035750693378153e+00,1.543278433552869533e+00,-2.124268285949137969e-02,2.996831124078060959e-01,3.478222164832713847e-01,-4.813910407546528880e-02,9.674149994411996856e-01,9.674149994411996856e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.234487727395958467e+00,1.211828921008071047e+00,2.265880638788742019e-02,4.466725808380179963e+00,4.711902475907267629e+00,-2.451766675270876661e-01,1.572824488436819657e+00,1.598241348174648246e+00,-2.541685973782858987e-02,3.383367610408611892e-01,3.864124271665771992e-01,-4.807566612571601006e-02,1.003883865319973534e+00,1.003883865319973534e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.208205119405727723e+00,1.187479019086070453e+00,2.072610031965727018e-02,4.447724504750627084e+00,4.721362705001262761e+00,-2.736382002506356770e-01,1.495701581509251366e+00,1.522733136945098487e+00,-2.703155543584712106e-02,2.874964621035236423e-01,3.352541178590280335e-01,-4.775765575550439124e-02,9.558804716605798779e-01,9.558804716605798779e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.199202586582072572e+00,1.182254984394302211e+00,1.694760218777036087e-02,4.379403006474101190e+00,4.678907806460189889e+00,-2.995047999860886989e-01,1.484069174199164509e+00,1.513815742008127962e+00,-2.974656780896345332e-02,2.848665876170919375e-01,3.315607576138257517e-01,-4.669416999673381419e-02,9.528612607013386970e-01,9.528612607013386970e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.205086976256850795e+00,1.194425861622874008e+00,1.066111463397678705e-02,4.313917353573264890e+00,4.636155939557200512e+00,-3.222385859839356215e-01,1.524064822391396179e+00,1.557361031272825214e+00,-3.329620888142903468e-02,3.189778461345453842e-01,3.629351696499512059e-01,-4.395732351540582172e-02,9.829736879536805638e-01,9.829736879536805638e-01,0.000000000000000000e+00
1.000000000000000000e+01,1.194840949576820632e+00,1.185920406902115198e+00,8.920542674705433939e-03,4.287781811421949030e+00,4.628198634042576032e+00,-3.404168226206270020e-01,1.498229201670387756e+00,1.532964335905766751e+00,-3.473513423537899492e-02,3.033882520935671234e-01,3.470439290036515523e-01,-4.365567691008442885e-02,9.680737726717836278e-01,9.680737726717836278e-01,0.000000000000000000e+00
