t,consumption_nn,consumption_ti,consumption_diff,capital_nn,capital_ti,capital_diff,output_nn,output_ti,output_diff,investment_nn,investment_ti,investment_diff,productivity_nn,productivity_ti,productivity_diff
0.000000000000000000e+00,1.127146354995890443e+00,1.141463985524933111e+00,-1.431763052904266864e-02,2.416782379150390625e+00,2.416782929762459897e+00,-5.506120692722049625e-07,1.277374770300652163e+00,1.277374851036533698e+00,-8.073588153578725723e-08,1.502284153047617199e-01,1.359108655116005870e-01,1.431754979316113285e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.136666762896403338e+00,1.150097544263211313e+00,-1.343078136680797563e-02,2.434464775951957982e+00,2.420147746573096725e+00,1.431702937886125682e-02,1.290597386940685931e+00,1.288487276346496735e+00,2.110110594189196220e-03,1.539306240442825935e-01,1.383897320832854216e-01,1.554089196099717185e-02,1.008310163969770912e+00,1.008310163969770912e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.163647640086222568e+00,1.179673989993905936e+00,-1.602634990768336820e-02,2.454879608081149467e+00,2.425806889934317923e+00,2.907271814683154432e-02,1.331376235975024080e+00,1.326983214936248379e+00,4.393021038775701825e-03,1.677285958888015127e-01,1.473092249423424427e-01,2.041937094645907003e-02,1.037762657081653828e+00,1.037762657081653828e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.152740637679820157e+00,1.162581343431264180e+00,-9.840705751444023264e-03,2.487972780953408680e+00,2.440075156082744279e+00,4.789762487066440144e-02,1.310557435590725017e+00,1.303508746265561236e+00,7.048689325163781660e-03,1.578167979109048602e-01,1.409274028342970553e-01,1.688939507660780492e-02,1.017747332049956155e+00,1.017747332049956155e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.140442251851271571e+00,1.144904869707612738e+00,-4.462617856341166700e-03,2.509339193796699785e+00,2.447179071300822351e+00,6.216012249587743455e-02,1.288713621293467559e+00,1.279776981324372898e+00,8.936639969094661851e-03,1.482713694421959882e-01,1.348721116167601597e-01,1.339925782543582855e-02,9.984126154954295895e-01,9.984126154954295895e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.157762032187337198e+00,1.163892458717837419e+00,-6.130426530500221460e-03,2.519988358574902776e+00,2.447838088158385439e+00,7.215027041651733697e-02,1.315248237409836651e+00,1.304691465343001289e+00,1.055677206683536262e-02,1.574862052224994535e-01,1.407990066251638694e-01,1.668719859733558408e-02,1.017773516056417638e+00,1.017773516056417638e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.185282779512570883e+00,1.194582173884796372e+00,-9.299394372225489036e-03,2.539268316315192120e+00,2.454387856902261689e+00,8.488045941293043128e-02,1.357345041212100201e+00,1.344602830735582399e+00,1.274221047651780125e-02,1.720622616995293175e-01,1.500206568507860272e-01,2.204160484874329029e-02,1.048130590297680076e+00,1.048130590297680076e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.184478342977300258e+00,1.190081901261255348e+00,-5.603558283955090147e-03,2.572066940484722508e+00,2.469800060339319980e+00,1.022668801454025278e-01,1.352748686506231479e+00,1.337607895495512622e+00,1.514079101071885702e-02,1.682703435289312210e-01,1.475259942342572739e-01,2.074434929467394717e-02,1.040868821384513643e+00,1.040868821384513643e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.159292601459011696e+00,1.156674798507965285e+00,2.617802951046410698e-03,2.599274838662330556e+00,2.481872334238190980e+00,1.174025044241395754e-01,1.309516715020459188e+00,1.292833001989930342e+00,1.668371303052884613e-02,1.502241135614474921e-01,1.361582034819650566e-01,1.406591007948243544e-02,1.004666975333861068e+00,1.004666975333861068e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.138625727541482613e+00,1.130442782633193755e+00,8.182944908288858343e-03,2.606944316840620335e+00,2.481914725566582547e+00,1.250295912740377879e-01,1.275632971482426603e+00,1.258357964106358029e+00,1.727500737606857406e-02,1.370072439409439902e-01,1.279151814731642745e-01,9.092062467779715718e-03,9.778716178286498417e-01,9.778716178286498417e-01,0.000000000000000000e+00
